Team1Agent1,Team1Agent2,Team1Agent3,Team1Agent4,Team1Agent5,Team2Agent1,Team2Agent2,Team2Agent3,Team2Agent4,Team2Agent5,Map,Victory
omen,killjoy,raze,jett,sova,cypher,phoenix,astra,jett,sova,Haven,Team 1
killjoy,jett,sova,breach,astra,astra,jett,cypher,sage,breach,Split,Team 1
jett,killjoy,astra,skye,sova,sage,killjoy,astra,jett,sova,Ascent,Team 2
kayo,jett,breach,killjoy,astra,killjoy,astra,jett,skye,sova,Haven,Team 2
reyna,viper,sova,sage,jett,sova,sage,viper,reyna,jett,Icebox,Team 2
sova,cypher,omen,jett,sage,astra,jett,killjoy,breach,sova,Ascent,Team 2
killjoy,jett,sova,astra,skye,jett,sova,astra,breach,killjoy,Ascent,Team 2
viper,astra,sage,raze,skye,raze,astra,viper,breach,cypher,Bind,Team 2
sage,raze,jett,killjoy,omen,jett,skye,astra,sage,breach,Split,Team 1
jett,viper,raze,sova,sage,sova,killjoy,viper,jett,sage,Icebox,Team 1
viper,skye,jett,cypher,sova,skye,jett,viper,sova,cypher,Breeze,Team 2
jett,cypher,skye,sova,astra,raze,astra,viper,killjoy,sova,Bind,Team 2
killjoy,viper,jett,reyna,sova,reyna,jett,sage,sova,viper,Icebox,Team 2
astra,killjoy,jett,raze,viper,reyna,jett,killjoy,astra,sage,Split,Team 2
killjoy,jett,reyna,sova,viper,jett,viper,killjoy,sage,sova,Icebox,Team 1
reyna,jett,sova,cypher,astra,jett,sova,astra,killjoy,skye,Haven,Team 1
jett,reyna,astra,killjoy,skye,jett,sova,skye,cypher,astra,Haven,Team 1
jett,killjoy,reyna,astra,viper,jett,killjoy,raze,skye,astra,Split,Team 1
jett,omen,killjoy,sova,reyna,jett,killjoy,astra,skye,sova,Bind,Team 1
sage,astra,killjoy,jett,reyna,astra,jett,cypher,viper,skye,Split,Team 1
jett,sova,skye,viper,cypher,sova,cypher,skye,jett,viper,Breeze,Team 1
killjoy,sova,jett,astra,sage,skye,sova,jett,cypher,astra,Ascent,Team 1
sova,killjoy,jett,astra,skye,jett,sova,skye,astra,cypher,Ascent,Team 2
reyna,cypher,jett,astra,sage,jett,raze,viper,astra,cypher,Split,Team 2
cypher,astra,jett,breach,viper,raze,breach,kayo,cypher,astra,Fracture,Team 2
astra,sova,sage,jett,killjoy,raze,jett,astra,sova,killjoy,Ascent,Team 1
raze,sova,viper,skye,astra,viper,astra,sova,raze,sage,Bind,Team 1
astra,jett,skye,killjoy,sova,killjoy,skye,jett,astra,sova,Haven,Team 1
sova,jett,sage,killjoy,astra,jett,sova,killjoy,kayo,astra,Ascent,Team 1
viper,jett,astra,skye,sova,jett,sova,skye,cypher,viper,Breeze,Team 1
sage,reyna,sova,viper,jett,jett,viper,sage,killjoy,sova,Icebox,Team 1
astra,jett,skye,sova,killjoy,jett,skye,astra,cypher,sova,Ascent,Team 1
jett,reyna,viper,killjoy,sova,jett,viper,sova,sage,killjoy,Icebox,Team 2
astra,jett,cypher,reyna,sage,sage,reyna,killjoy,raze,astra,Split,Team 1
sova,cypher,astra,jett,phoenix,jett,cypher,skye,sova,astra,Haven,Team 2
raze,jett,viper,sova,sage,reyna,killjoy,jett,sova,viper,Icebox,Team 2
jett,reyna,viper,sage,sova,viper,reyna,jett,sage,sova,Icebox,Team 1
kayo,sova,viper,jett,astra,raze,astra,skye,breach,jett,Bind,Team 1
raze,astra,viper,kayo,skye,brimstone,viper,sova,jett,raze,Bind,Team 1
raze,sage,viper,astra,skye,astra,killjoy,jett,raze,sage,Split,Team 1
jett,cypher,skye,sova,astra,astra,killjoy,jett,breach,sova,Haven,Team 1
jett,breach,viper,astra,cypher,jett,viper,breach,killjoy,sage,Fracture,Team 1
jett,sova,skye,viper,astra,astra,breach,skye,viper,jett,Bind,Team 2
cypher,jett,sova,skye,astra,killjoy,skye,astra,jett,sova,Haven,Team 1
reyna,jett,sova,viper,sage,reyna,sage,sova,jett,viper,Icebox,Team 1
phoenix,jett,sova,killjoy,astra,astra,jett,phoenix,sova,cypher,Haven,Team 2
sova,jett,astra,viper,skye,raze,astra,viper,sova,reyna,Bind,Team 2
sova,jett,killjoy,viper,sage,viper,sage,sova,jett,killjoy,Icebox,Team 2
cypher,breach,viper,jett,astra,reyna,cypher,jett,breach,astra,Split,Team 2
killjoy,sova,astra,jett,skye,jett,killjoy,astra,sova,breach,Haven,Team 1
sova,skye,jett,viper,sage,reyna,sova,viper,jett,skye,Breeze,Team 1
skye,jett,astra,killjoy,sova,astra,skye,jett,sova,killjoy,Ascent,Team 2
reyna,viper,jett,killjoy,astra,viper,cypher,astra,skye,raze,Split,Team 1
jett,reyna,skye,killjoy,astra,viper,sova,astra,killjoy,jett,Haven,Team 1
skye,jett,cypher,astra,sova,killjoy,skye,reyna,jett,astra,Haven,Team 2
raze,jett,kayo,astra,skye,killjoy,skye,reyna,astra,jett,Bind,Team 1
sova,viper,raze,reyna,jett,jett,viper,reyna,sage,sova,Icebox,Team 1
raze,killjoy,sage,astra,skye,raze,viper,skye,astra,jett,Split,Team 1
jett,killjoy,astra,sova,skye,jett,sova,viper,raze,astra,Bind,Team 1
sova,reyna,killjoy,jett,viper,jett,reyna,killjoy,sova,viper,Icebox,Team 1
killjoy,jett,sova,sage,astra,sova,jett,astra,kayo,killjoy,Ascent,Team 1
jett,cypher,sova,viper,skye,cypher,reyna,jett,viper,sova,Breeze,Team 2
jett,sova,sage,killjoy,viper,killjoy,sova,jett,reyna,viper,Icebox,Team 1
astra,jett,killjoy,sova,skye,skye,astra,sova,killjoy,jett,Haven,Team 2
raze,sage,astra,viper,sova,raze,sova,skye,astra,viper,Bind,Team 1
jett,reyna,viper,sova,sage,reyna,sova,sage,killjoy,viper,Icebox,Team 1
jett,sage,viper,sova,killjoy,jett,reyna,killjoy,viper,sova,Icebox,Team 1
jett,astra,killjoy,sova,sage,astra,jett,kayo,cypher,sova,Ascent,Team 1
sova,jett,cypher,astra,skye,jett,sova,killjoy,astra,skye,Haven,Team 2
jett,sage,skye,astra,viper,sage,reyna,jett,cypher,astra,Split,Team 2
raze,reyna,sage,astra,killjoy,skye,raze,sova,cypher,astra,Split,Team 1
sova,astra,skye,cypher,jett,jett,killjoy,sova,kayo,astra,Ascent,Team 2
killjoy,jett,sova,viper,sage,reyna,raze,killjoy,viper,sova,Icebox,Team 1
killjoy,sova,raze,viper,jett,raze,jett,viper,sova,sage,Icebox,Team 2
cypher,jett,sova,skye,viper,jett,cypher,sova,skye,viper,Breeze,Team 1
jett,skye,astra,sova,killjoy,astra,killjoy,sova,skye,jett,Ascent,Team 2
sova,astra,jett,killjoy,kayo,skye,jett,cypher,sova,astra,Ascent,Team 1
astra,cypher,viper,jett,skye,jett,raze,viper,cypher,astra,Split,Team 2
skye,cypher,astra,jett,sova,jett,astra,sova,cypher,skye,Haven,Team 2
jett,skye,cypher,viper,astra,killjoy,astra,jett,reyna,sage,Split,Team 1
sova,cypher,astra,jett,skye,sova,cypher,astra,jett,skye,Haven,Team 2
cypher,jett,sova,astra,skye,killjoy,jett,skye,astra,sova,Haven,Team 2
viper,jett,sova,sage,killjoy,raze,jett,sova,killjoy,viper,Icebox,Team 2
raze,viper,killjoy,kayo,astra,raze,jett,viper,astra,cypher,Split,Team 2
skye,viper,cypher,jett,sova,sova,jett,skye,cypher,viper,Breeze,Team 2
viper,sage,reyna,jett,sova,viper,jett,killjoy,sage,sova,Icebox,Team 2
reyna,jett,sova,viper,cypher,jett,sova,viper,cypher,skye,Breeze,Team 2
skye,jett,viper,sage,astra,astra,killjoy,jett,raze,viper,Split,Team 1
jett,sova,astra,skye,cypher,astra,skye,jett,cypher,sova,Haven,Team 1
reyna,killjoy,sova,jett,astra,astra,jett,killjoy,skye,sova,Ascent,Team 1
raze,sova,jett,astra,viper,sage,raze,viper,astra,sova,Bind,Team 2
viper,killjoy,jett,sova,skye,jett,killjoy,viper,raze,sova,Icebox,Team 2
kayo,astra,sova,jett,killjoy,jett,astra,sova,sage,killjoy,Ascent,Team 2
kayo,viper,jett,astra,sova,viper,sova,raze,astra,skye,Bind,Team 2
jett,sova,astra,killjoy,breach,jett,sage,killjoy,sova,astra,Ascent,Team 2
jett,sova,reyna,viper,cypher,jett,skye,sova,cypher,viper,Breeze,Team 1
astra,jett,sova,reyna,killjoy,skye,killjoy,sova,astra,jett,Ascent,Team 2
killjoy,reyna,astra,raze,sage,raze,jett,cypher,viper,astra,Split,Team 1
raze,killjoy,sova,jett,viper,sage,jett,reyna,viper,sova,Icebox,Team 1
sova,jett,skye,viper,astra,jett,cypher,sova,skye,viper,Breeze,Team 1
kayo,viper,sage,jett,sova,reyna,viper,sage,jett,sova,Icebox,Team 1
astra,sova,jett,killjoy,skye,astra,jett,cypher,sova,kayo,Haven,Team 1
raze,viper,skye,sova,astra,viper,astra,skye,raze,sova,Bind,Team 1
raze,breach,sova,astra,cypher,jett,raze,cypher,skye,astra,Bind,Team 2
astra,cypher,breach,raze,jett,raze,jett,astra,cypher,breach,Split,Team 2
